id,label,component_id,claim,evidence_json,notes
A1,FAIL,frontier,"After a friend tried it for a month she said her grey hair was darker.","{""who"":""one friend"",""duration"":""one month"",""measurement"":""she said""}","single anecdote, subjective"
A2,FAIL,frontier,"We watched two old dogs in our breeder kennel and the one we fed it to lived longer.","{""subjects"":""two dogs"",""design"":""one fed, one not"",""record"":""informal""}","n=2, no controls, no design"
A3,FAIL,metabolic,"The lab mouse that got the drug lived noticeably longer than the others.","{""n"":1,""design"":""we noticed it lived longer"",""controls"":""the others, sort of""}","n=1, eyeballed outcome"
A4,FAIL,cardiovascular,"We gave the supplement to ourselves and our blood pressure readings looked better afterwards.","{""participants"":""the three of us"",""measurement"":""home cuff readings""}","self-experiment, no controls"
A5,FAIL,neuro,"Once the early numbers from the trial trended positive we decided to wrap things up and write it up.","{""n"":18,""design"":""ended once trend was clear""}","stopped early without rule"
A6,FAIL,immune,"The compound seemed to help when we tested it on cells from a vendor we bought online.","{""system"":""cells in a dish""}","in vitro, single run"
A7,FAIL,frontier,"Several people in our circle who started taking it told us they feel sharper.","{""participants"":""friends and family"",""outcome"":""they told us""}","testimonial of associates"
A8,FAIL,metabolic,"Because the change in glucose was so striking we did not bother with a comparison condition.","{""design"":""no comparison group"",""effect"":""striking""}","large effect framed away no-control"
A9,FAIL,neuro,"The way the patient described feeling after the procedure was so convincing we knew it worked.","{""subjects"":""one patient"",""evidence"":""their description""}","single subject, subjective"
A10,FAIL,cardiovascular,"Our notes from the bench experiment showed the agent extended the heart cells' viability in one of the runs.","{""runs"":1,""source"":""bench notes""}","single run, source is internal notes"
A11,FAIL,frontier,"After the founder personally noticed improvements within days of starting the regimen, we felt confident moving ahead.","{""subject"":""founder"",""window"":""within days""}","founder anecdote, short window"
A12,FAIL,frontier,"It worked the one time we tried it on the volunteer who came in.","{""volunteers"":1,""trials"":1}","n=1 trial"
A13,FAIL,immune,"We checked the panel a few weeks later and the markers we were hoping for had moved.","{""measurement"":""the markers we were hoping for"",""design"":""no preregistration""}","post-hoc selection of outcomes"
A14,FAIL,neuro,"Patients on the new schedule appeared to do better in the eyes of the treating physicians.","{""assessment"":""treating physicians, unblinded""}","unblinded subjective assessment"
A15,PASS,cardiovascular,"A trial of 6,400 adults randomly assigned to the drug or placebo, blinded from both sides, found a small but consistent reduction in heart attacks over four years.","{""n"":6400,""design"":""randomized double-blind placebo-controlled"",""duration"":""four years"",""journal"":""peer-reviewed"",""replicated_by"":[""follow-up trial in 2024""]}","plainly phrased RCT, narrow claim"
A16,PASS,metabolic,"Pooling results across 24 randomized trials totaling more than 40,000 participants, the medication produced a modest reduction in fasting glucose.","{""design"":""pooled analysis of 24 randomized trials"",""n"":40000,""journal"":""peer-reviewed""}","plainly phrased meta-analysis"
A17,PASS,neuro,"A prospective study of 11,000 older adults across four centers, with blinded cognitive assessment at five years, found those who exercised more had measurably slower decline.","{""n"":11000,""design"":""prospective multi-center, blinded assessment"",""duration"":""five years"",""replicated_by"":[""parallel european cohort""]}","prospective multi-center, sensible scope"
A18,PASS,immune,"Vaccinated children in a registry of 200,000 had a sharply lower incidence of severe disease compared with the unvaccinated, after standard adjustment.","{""n"":200000,""design"":""population registry with adjustment""}","large registry, narrow public-health claim"
A19,PASS,cardiovascular,"Two independent groups, working in different countries, separately confirmed that the medication lowers cholesterol in the same dose-dependent way.","{""design"":""two independent confirmations"",""replicated_by"":[""group 1"",""group 2""]}","cross-group replication, dose-dependent"
A20,PASS,metabolic,"A small but carefully run study of 92 patients, randomized between the new regimen and standard care with blinded outcome assessment, found a real if modest improvement.","{""n"":92,""design"":""randomized, blinded outcome assessment""}","modest n, modest claim, careful design"
A21,PASS,frontier,"Reviewing several decades of cohort studies, the relationship between regular physical activity and lower all-cause mortality holds across populations.","{""design"":""systematic review of cohort studies"",""n"":500000,""journal"":""peer-reviewed""}","plain phrasing of large meta-cohort"
A22,PASS,neuro,"Over a six-month preregistered trial with 240 participants randomized between the device and a sham, the device group showed a small improvement on the primary endpoint.","{""n"":240,""design"":""preregistered randomized sham-controlled""}","sham-controlled, preregistered"
A23,BORDERLINE,frontier,"A small study of 22 participants, properly randomized and blinded, suggested a modest benefit but the confidence interval crossed the no-effect line.","{""n"":22,""design"":""randomized, blinded"",""result"":""ci crossed no-effect""}","real RCT but underpowered, honest reporting"
A24,BORDERLINE,metabolic,"In a careful observational study of 3,000 people, the dietary pattern was linked to lower mortality, though residual confounding cannot be ruled out.","{""n"":3000,""design"":""observational cohort"",""caveat"":""residual confounding possible""}","real observational, honest caveat"
A25,BORDERLINE,neuro,"The agent improved a surrogate marker in a moderately sized trial, though it remains unclear whether the marker translates to clinical benefit.","{""n"":180,""design"":""randomized, surrogate endpoint""}","real RCT, surrogate-endpoint caveat"
A26,FAIL,frontier,"Once we adjusted out the people who did not respond, the effect was striking.","{""design"":""excluded non-responders post-hoc"",""effect"":""striking""}","responder-only analysis"
A27,FAIL,immune,"We had a small group, but every single one of them improved, which we think speaks for itself.","{""n"":7,""result"":""all improved"",""design"":""no control""}","n=7, no control, certainty framing"
